p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,3.0,74,0.24,0.04826969384244926,0.01496,295.42201235134917,,,,,,,,
0.01,3.0,75,0.44,0.1460268317853457,0.01608,296.5301287779973,,,,,,,,
0.01,3.0,76,0.04,0.014970760233918128,0.01804,295.4872785803562,,,,,,,,
0.01,3.0,77,0.0,0.0191812865497076,0.016479999999999998,296.0600720822712,,,,,,,,
0.01,3.0,78,0.0,0.02807017543859649,0.016040000000000002,295.9622053411742,,,,,,,,
0.01,3.0,79,0.04,0.04140350877192982,0.0158,296.8514210183237,,,,,,,,
0.01,3.0,80,0.04,0.030175438596491223,0.01572,296.26067185351866,,,,,,,,
0.01,3.0,81,0.04,0.05403508771929824,0.017920000000000002,294.93944565427313,,,,,,,,
0.01,3.0,82,0.0,0.023859649122807015,0.017240000000000002,295.6379877813369,,,,,,,,
0.01,3.0,83,0.0,0.037234262125902994,0.016720000000000002,296.3466903268935,,,,,,,,
0.01,3.0,84,0.04,0.04304093567251461,0.01568,295.68957503266114,,,,,,,,
0.01,3.0,85,0.0,0.04144478844169246,0.01652,296.52883835732155,,,,,,,,
0.01,3.0,86,0.08,0.02807017543859649,0.01716,296.7173939649412,,,,,,,,
0.01,3.0,87,0.0,0.014736842105263158,0.01652,295.686321990244,,,,,,,,
0.01,3.0,88,0.04,0.04776057791537667,0.01716,294.93968081917916,,,,,,,,
0.01,3.0,89,0.0,0.023157894736842106,0.01796,296.8390209722199,,,,,,,,
0.01,3.0,90,0.16,0.05220502235982112,0.01636,296.5505913278646,,,,,,,,
0.01,3.0,91,0.04,0.04331613347093224,0.01636,295.8872846783749,,,,,,,,
0.01,3.0,92,0.0,0.04725146198830409,0.0164,296.81319878481,,,,,,,,
0.01,3.0,93,0.08,0.02807017543859649,0.01584,295.43799166284293,,,,,,,,
0.01,3.0,94,0.04,0.04803577571379429,0.016960000000000003,295.40379720982224,,,,,,,,
0.01,3.0,95,0.0,0.026198830409356725,0.01436,296.85042550302654,,,,,,,,
0.01,3.0,96,0.2,0.0535500515995872,0.017200000000000003,296.33922233801934,,,,,,,,
0.01,3.0,97,0.04,0.04121087031303749,0.01652,296.0642706111383,,,,,,,,
0.01,3.0,98,0.04,0.032321981424148605,0.01464,296.57802338217147,,,,,,,,
0.01,3.0,99,0.04,0.023157894736842106,0.016640000000000002,296.13041825218437,,,,,,,,
