p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.1,21,0.3428248222365869,0.01152,0.44,590.3344440757726,,,,,,,,
0.02,1.1,22,0.08854489164086689,0.0031600000000000005,1.0,598.4633127391076,,,,,,,,
0.02,1.1,23,0.4356776556776556,0.011120000000000001,1.0,590.0417009447658,,,,,,,,
0.02,1.1,24,0.29554621848739493,0.008960000000000001,1.0,591.1019348467692,,,,,,,,
0.02,1.1,25,0.5738261738261737,0.011720000000000001,0.48,592.1492409345342,,,,,,,,
0.02,1.1,26,0.38321266968325784,0.01048,1.0,590.2817656966253,,,,,,,,
0.02,1.1,27,0.3237513466925232,0.0108,0.92,589.8822704160812,,,,,,,,
0.02,1.1,28,0.35270128564246206,0.01064,1.0,591.760800880449,,,,,,,,
0.02,1.1,29,0.42424908424908425,0.010960000000000001,0.92,592.1826411562379,,,,,,,,
0.02,1.1,30,0.421978021978022,0.00868,1.0,592.2007685586927,,,,,,,,
0.02,1.1,31,0.3954578754578755,0.012960000000000001,0.92,588.3793039344569,,,,,,,,
0.02,1.1,32,0.2469467787114846,0.006959999999999999,1.0,591.4992601782279,,,,,,,,
0.02,1.1,33,0.38545787545787547,0.01056,0.8,592.0044425688101,,,,,,,,
0.02,1.1,34,0.3947511312217194,0.01156,0.96,591.5738553599862,,,,,,,,
0.02,1.1,35,0.4643223443223443,0.0108,1.0,591.3292049654303,,,,,,,,
0.02,1.1,36,0.2518185735832794,0.011080000000000001,0.92,590.7998595221288,,,,,,,,
0.02,1.1,37,0.4940659340659341,0.01144,1.0,589.5990105581539,,,,,,,,
0.02,1.1,38,0.35926739926739926,0.011760000000000001,0.8,591.9811986966046,,,,,,,,
0.02,1.1,39,0.39475113122171945,0.0114,1.0,590.88340105598,,,,,,,,
0.02,1.1,40,0.3404438698556346,0.011160000000000002,1.0,591.8251060435508,,,,,,,,
0.02,1.1,41,0.19245073467983684,0.010960000000000001,0.62,590.3794685104925,,,,,,,,
0.02,1.1,42,0.5457875457875457,0.00912,1.0,590.0743771886762,,,,,,,,
0.02,1.1,43,0.40197802197802196,0.01012,1.0,590.2937841412381,,,,,,,,
0.02,1.1,44,0.5384615384615384,0.01064,1.0,592.1949620576266,,,,,,,,
0.02,1.1,45,0.32705882352941174,0.008600000000000002,1.0,592.7949910921932,,,,,,,,
0.02,1.1,46,0.542031302031302,0.009960000000000002,1.0,591.462469340669,,,,,,,,
0.02,1.1,47,0.2807914960856137,0.00792,1.0,591.9278413454202,,,,,,,,
0.02,1.1,48,0.32822164763341233,0.01044,1.0,590.2520719647844,,,,,,,,
0.02,1.1,49,0.4865934065934065,0.012240000000000003,1.0,591.8191719213324,,,,,,,,
0.02,1.1,50,0.46206793206793206,0.01228,0.32,589.0898015632339,,,,,,,,
0.02,1.1,51,0.41702219349278175,0.01048,1.0,592.0740365544102,,,,,,,,
0.02,1.1,52,0.45586080586080585,0.011280000000000002,1.0,593.9128999119744,,,,,,,,
0.02,1.1,53,0.4743223443223443,0.011200000000000002,0.8,589.8236589443899,,,,,,,,
0.02,1.1,54,0.27044817927170867,0.008960000000000001,1.0,592.8957637805795,,,,,,,,
0.02,1.1,55,0.3038095238095238,0.0106,1.0,594.1658094648943,,,,,,,,
0.02,1.1,56,0.06694186446508428,0.0014000000000000002,1.0,600.856352193705,,,,,,,,
0.02,1.1,57,0.6471528471528472,0.01168,0.96,592.7536277968095,,,,,,,,
0.02,1.1,58,0.2889119858469703,0.011320000000000002,0.88,590.7266033147721,,,,,,,,
0.02,1.1,59,0.33061624649859944,0.0102,1.0,591.0227523240819,,,,,,,,
0.02,1.1,60,0.2536134453781512,0.011600000000000001,1.0,593.1174637035508,,,,,,,,
0.02,1.1,61,0.36926739926739927,0.00884,1.0,592.3994532772543,,,,,,,,
0.02,1.1,62,0.654079254079254,0.01148,0.48,592.7704512242216,,,,,,,,
0.02,1.1,63,0.2530718954248366,0.011240000000000002,0.72,590.6478494411194,,,,,,,,
0.02,1.1,64,0.33825684119801763,0.01152,1.0,591.3986599746404,,,,,,,,
0.02,1.1,65,0.4546886446886446,0.011600000000000001,0.8,591.5041904964457,,,,,,,,
0.02,1.1,66,0.3889010989010989,0.010360000000000001,1.0,590.0397264069703,,,,,,,,
0.02,1.1,67,0.36578754578754574,0.01072,1.0,592.8082807588328,,,,,,,,
0.02,1.1,68,0.4612454212454212,0.01144,0.84,590.5195404843123,,,,,,,,
0.02,1.1,69,0.34831932773109237,0.011760000000000001,1.0,591.4254772010756,,,,,,,,
0.02,1.1,70,0.3405860805860806,0.0128,0.48,590.6185928033522,,,,,,,,
0.02,1.1,71,0.20794093075826822,0.0098,1.0,589.8761777193292,,,,,,,,
0.02,1.1,72,0.2683193277310924,0.006240000000000001,1.0,593.5497632156467,,,,,,,,
0.02,1.1,73,0.3110924369747899,0.010360000000000001,1.0,590.5664043056806,,,,,,,,
0.02,1.1,74,0.2568814192343604,0.011080000000000001,0.48,589.63231369127,,,,,,,,
0.02,1.1,75,0.38180074827133653,0.011200000000000002,1.0,591.7567479146772,,,,,,,,
0.02,1.1,76,0.40091575091575093,0.011960000000000002,0.6,590.8408501061754,,,,,,,,
0.02,1.1,77,0.29327515621633266,0.012560000000000002,1.0,591.4699252787071,,,,,,,,
0.02,1.1,78,0.19326797385620917,0.01084,0.94,592.7101288051879,,,,,,,,
0.02,1.1,79,0.05730994152046783,0.0011200000000000001,1.0,600.6300794511164,,,,,,,,
0.02,1.1,80,0.4793206793206793,0.012080000000000002,0.68,592.4735367295917,,,,,,,,
0.02,1.1,81,0.4166300366300366,0.01008,1.0,592.7131001080738,,,,,,,,
